"state","union_any","dem_proportion","rep_proportion","other_proportion","year"
"Alabama","union_hh_no",0.342396669329492,0.63730172209081,0.0203016085796982,2008
"Alabama","union_hh_yes",0.605674568931593,0.369798414988008,0.0245270160803992,2008
"Alaska","union_hh_no",0.310376658881958,0.595281345359338,0.0943419957587042,2008
"Alaska","union_hh_yes",0.410162614342265,0.589837385657735,0,2008
"Arizona","union_hh_no",0.441031765645837,0.548811171016334,0.0101570633378296,2008
"Arizona","union_hh_yes",0.490520820697296,0.488446963418857,0.0210322158838468,2008
"Arkansas","union_hh_no",0.399155925346627,0.575979080176772,0.0248649944766008,2008
"Arkansas","union_hh_yes",0.670016214713099,0.306100314431859,0.0238834708550425,2008
"California","union_hh_no",0.573908801577214,0.403119203013727,0.0229719954090592,2008
"California","union_hh_yes",0.602917137903378,0.374257523310156,0.0228253387864657,2008
"Colorado","union_hh_no",0.498166588131826,0.487270094431076,0.0145633174370981,2008
"Colorado","union_hh_yes",0.607895891206878,0.326267583762005,0.0658365250311169,2008
"Connecticut","union_hh_no",0.555615170742076,0.435922188429888,0.00846264082803611,2008
"Connecticut","union_hh_yes",0.670351922207504,0.310501988273256,0.0191460895192397,2008
"Delaware","union_hh_no",0.634439909377504,0.365560090622496,0,2008
"Delaware","union_hh_yes",0.772309746847059,0.200360250789213,0.0273300023637286,2008
"District of Columbia","union_hh_no",0.937660382533089,0.0623396174669106,0,2008
"District of Columbia","union_hh_yes",0.943867944644569,0.0561320553554306,0,2008
"Florida","union_hh_no",0.504826334973633,0.483794404823978,0.0113792602023886,2008
"Florida","union_hh_yes",0.620781125888405,0.367390032812132,0.0118288412994624,2008
"Georgia","union_hh_no",0.439963888845452,0.548216214121879,0.011819897032669,2008
"Georgia","union_hh_yes",0.600693152852132,0.372999963403404,0.0263068837444632,2008
"Hawaii","union_hh_no",0.72924019661042,0.247111309469166,0.0236484939204136,2008
"Hawaii","union_hh_yes",0.627247496494945,0.286361060995599,0.0863914425094554,2008
"Idaho","union_hh_no",0.340952569234307,0.637099027346824,0.0219484034188685,2008
"Idaho","union_hh_yes",0.385868870825699,0.508516012958712,0.105615116215589,2008
"Illinois","union_hh_no",0.574841415930319,0.40765350396411,0.0175050801055705,2008
"Illinois","union_hh_yes",0.652655185601685,0.332223172825302,0.0151216415730124,2008
"Indiana","union_hh_no",0.481378227797975,0.510153923375997,0.008467848826027,2008
"Indiana","union_hh_yes",0.628859348252583,0.360274032373883,0.0108666193735336,2008
"Iowa","union_hh_no",0.478862658371833,0.494257090922422,0.0268802507057448,2008
"Iowa","union_hh_yes",0.570814685809401,0.390200869631175,0.0389844445594245,2008
"Kansas","union_hh_no",0.407696509755007,0.581645004728698,0.010658485516295,2008
"Kansas","union_hh_yes",0.433978808195506,0.521389417949953,0.0446317738545408,2008
"Kentucky","union_hh_no",0.391490632764487,0.596959511049412,0.0115498561861008,2008
"Kentucky","union_hh_yes",0.478572749381319,0.491237734758548,0.0301895158601338,2008
"Louisiana","union_hh_no",0.368732413123085,0.604385328849281,0.0268822580276338,2008
"Louisiana","union_hh_yes",0.355205857568949,0.614180159220255,0.0306139832107965,2008
"Maine","union_hh_no",0.532209061501062,0.42382046186625,0.043970476632688,2008
"Maine","union_hh_yes",0.556501434215183,0.443498565784817,0,2008
"Maryland","union_hh_no",0.685085073357553,0.297267397634078,0.017647529008369,2008
"Maryland","union_hh_yes",0.694294348400713,0.273811356336761,0.0318942952625263,2008
"Massachusetts","union_hh_no",0.617061641450028,0.362020883772418,0.0209174747775539,2008
"Massachusetts","union_hh_yes",0.63255768835262,0.33437859595888,0.0330637156884994,2008
"Michigan","union_hh_no",0.511278644059984,0.473162498559313,0.0155588573807025,2008
"Michigan","union_hh_yes",0.622489382885717,0.355635854085195,0.0218747630290873,2008
"Minnesota","union_hh_no",0.495790584326176,0.489650985968716,0.0145584297051079,2008
"Minnesota","union_hh_yes",0.593255315509395,0.38463647771949,0.0221082067711152,2008
"Mississippi","union_hh_no",0.410365734940062,0.579156885425075,0.0104773796348638,2008
"Mississippi","union_hh_yes",0.594417675344879,0.319798134261806,0.0857841903933148,2008
"Missouri","union_hh_no",0.466595253140452,0.520982861720361,0.0124218851391869,2008
"Missouri","union_hh_yes",0.602602821004884,0.380691336672623,0.0167058423224926,2008
"Montana","union_hh_no",0.518688832459873,0.481311167540127,0,2008
"Montana","union_hh_yes",0.446403446628638,0.453565043024046,0.100031510347317,2008
"Nebraska","union_hh_no",0.445136484021382,0.538901615428475,0.0159619005501431,2008
"Nebraska","union_hh_yes",0.550859049479206,0.427830472172245,0.0213104783485487,2008
"Nevada","union_hh_no",0.443242980123938,0.528459219911467,0.0282977999645952,2008
"Nevada","union_hh_yes",0.605865674761348,0.374588819111289,0.0195455061273626,2008
"New Hampshire","union_hh_no",0.51956919064879,0.46955105029406,0.0108797590571501,2008
"New Hampshire","union_hh_yes",0.566078702720065,0.39042208030112,0.0434992169788149,2008
"New Jersey","union_hh_no",0.568486593497602,0.39466144218644,0.0368519643159577,2008
"New Jersey","union_hh_yes",0.623470712574127,0.342240108718491,0.0342891787073821,2008
"New Mexico","union_hh_no",0.558817369156445,0.441182630843555,0,2008
"New Mexico","union_hh_yes",0.582138644277846,0.382429018126599,0.035432337595555,2008
"New York","union_hh_no",0.639168790329839,0.350961958696017,0.00986925097414385,2008
"New York","union_hh_yes",0.610326690853433,0.375201424794992,0.014471884351575,2008
"North Carolina","union_hh_no",0.528090999813977,0.457282528345926,0.0146264718400964,2008
"North Carolina","union_hh_yes",0.567576827152148,0.432423172847852,0,2008
"North Dakota","union_hh_no",0.484280548436214,0.499966524770519,0.0157529267932673,2008
"North Dakota","union_hh_yes",0.61082506731096,0.38917493268904,0,2008
"Ohio","union_hh_no",0.518497260694524,0.470949496633387,0.0105532426720889,2008
"Ohio","union_hh_yes",0.55230404734911,0.404787816307304,0.0429081363435857,2008
"Oklahoma","union_hh_no",0.348619600268715,0.651380399731285,0,2008
"Oklahoma","union_hh_yes",0.399205419135208,0.600794580864792,0,2008
"Oregon","union_hh_no",0.471537631871716,0.462226306573698,0.0662360615545865,2008
"Oregon","union_hh_yes",0.563688219949171,0.436311780050829,0,2008
"Pennsylvania","union_hh_no",0.522190723532342,0.461808682600279,0.0160005938673788,2008
"Pennsylvania","union_hh_yes",0.565494320271768,0.425304615717134,0.00920106401109762,2008
"Rhode Island","union_hh_no",0.689700194549844,0.310299805450156,0,2008
"Rhode Island","union_hh_yes",0.757164731706809,0.242835268293191,0,2008
"South Carolina","union_hh_no",0.487299760265543,0.502448459415344,0.0102517803191124,2008
"South Carolina","union_hh_yes",0.632823079974943,0.367176920025057,0,2008
"South Dakota","union_hh_no",0.451992833230937,0.528639829143067,0.0193673376259956,2008
"South Dakota","union_hh_yes",0.571645408956884,0.428354591043116,0,2008
"Tennessee","union_hh_no",0.377058071079387,0.605074319394492,0.0178676095261214,2008
"Tennessee","union_hh_yes",0.568657272790443,0.421847314085532,0.00949541312402448,2008
"Texas","union_hh_no",0.440717193341732,0.550478080990673,0.00880472566759526,2008
"Texas","union_hh_yes",0.570197926336159,0.424024268087049,0.00577780557679158,2008
"Utah","union_hh_no",0.406758184402684,0.535895028751654,0.0573467868456624,2008
"Utah","union_hh_yes",0.55005334215553,0.41365605090776,0.0362906069367096,2008
"Vermont","union_hh_no",0.644125745670369,0.321924358920307,0.033949895409324,2008
"Vermont","union_hh_yes",0.6375795224684,0.245004449730989,0.117416027800611,2008
"Virginia","union_hh_no",0.598209647367198,0.397230799948304,0.00455955268449814,2008
"Virginia","union_hh_yes",0.609264495283701,0.374868200318778,0.0158673043975209,2008
"Washington","union_hh_no",0.538644335967948,0.447970061702313,0.013385602329739,2008
"Washington","union_hh_yes",0.69857915700292,0.269109465414471,0.0323113775826085,2008
"West Virginia","union_hh_no",0.48216831626141,0.493709539733463,0.024122144005127,2008
"West Virginia","union_hh_yes",0.387784042001498,0.55684134534668,0.0553746126518218,2008
"Wisconsin","union_hh_no",0.536687514527178,0.439148966936707,0.0241635185361149,2008
"Wisconsin","union_hh_yes",0.560967750818171,0.434710485186704,0.00432176399512521,2008
"Wyoming","union_hh_no",0.276450662666988,0.702513748153828,0.0210355891791838,2008
"Wyoming","union_hh_yes",0.479639887466906,0.453221615821432,0.0671384967116619,2008
"Alabama","union_hh_no",0.393583805158911,0.577084939582187,0.0293312552589021,2012
"Alabama","union_hh_yes",0.393097807189023,0.573969500458673,0.0329326923523039,2012
"Alaska","union_hh_no",0.463551399894805,0.52235294078674,0.0140956593184546,2012
"Alaska","union_hh_yes",0.417648910837236,0.514714778552548,0.0676363106102158,2012
"Arizona","union_hh_no",0.463079435017319,0.498734443291337,0.038186121691344,2012
"Arizona","union_hh_yes",0.442357447269728,0.509643257525725,0.0479992952045469,2012
"Arkansas","union_hh_no",0.407906111843053,0.565645630842212,0.0264482573147345,2012
"Arkansas","union_hh_yes",0.445335279646767,0.530408478021033,0.0242562423322009,2012
"California","union_hh_no",0.621266389272334,0.336650662794076,0.0420829479335902,2012
"California","union_hh_yes",0.581957655537489,0.38277981340367,0.0352625310588404,2012
"Colorado","union_hh_no",0.505908063072312,0.441534161988008,0.0525577749396805,2012
"Colorado","union_hh_yes",0.535715376770994,0.435241444584605,0.0290431786444014,2012
"Connecticut","union_hh_no",0.579054986826263,0.392347810669643,0.0285972025040942,2012
"Connecticut","union_hh_yes",0.567045179260525,0.380481517381231,0.0524733033582449,2012
"Delaware","union_hh_no",0.588116762716197,0.366741993234736,0.0451412440490675,2012
"Delaware","union_hh_yes",0.66696380210174,0.309547298382879,0.0234888995153816,2012
"District of Columbia","union_hh_no",0.869755550617274,0.0865541504882846,0.043690298894441,2012
"District of Columbia","union_hh_yes",0.900676575592947,0.0549275643192042,0.0443958600878484,2012
"Florida","union_hh_no",0.528052703441433,0.453139759662067,0.0188075368964998,2012
"Florida","union_hh_yes",0.519306155484814,0.458210725459941,0.0224831190552455,2012
"Georgia","union_hh_no",0.481819521057665,0.481335170505505,0.0368453084368296,2012
"Georgia","union_hh_yes",0.547329331036284,0.437151002784494,0.0155196661792212,2012
"Hawaii","union_hh_no",0.583563149518432,0.315603197212139,0.100833653269429,2012
"Hawaii","union_hh_yes",0.671834257994356,0.278337438548162,0.0498283034574828,2012
"Idaho","union_hh_no",0.25138286825455,0.709210404752211,0.0394067269932386,2012
"Idaho","union_hh_yes",0.327020782061063,0.605366985909923,0.0676122320290137,2012
"Illinois","union_hh_no",0.583152852178803,0.393079148727836,0.0237679990933609,2012
"Illinois","union_hh_yes",0.585295308033387,0.387769008461034,0.026935683505579,2012
"Indiana","union_hh_no",0.458537082945528,0.512886617792931,0.0285762992615412,2012
"Indiana","union_hh_yes",0.499046074407244,0.459385895730334,0.0415680298624213,2012
"Iowa","union_hh_no",0.477440211519277,0.474270595681922,0.0482891927988007,2012
"Iowa","union_hh_yes",0.574467211094746,0.385488320310758,0.0400444685944961,2012
"Kansas","union_hh_no",0.389454472691281,0.560328360421101,0.0502171668876181,2012
"Kansas","union_hh_yes",0.48477970853157,0.472449468294759,0.0427708231736709,2012
"Kentucky","union_hh_no",0.401544282338888,0.539438364092108,0.0590173535690047,2012
"Kentucky","union_hh_yes",0.413301246514215,0.543871611202686,0.0428271422830987,2012
"Louisiana","union_hh_no",0.462842159473659,0.491770893742231,0.0453869467841104,2012
"Louisiana","union_hh_yes",0.434605116480583,0.536115257343201,0.029279626176216,2012
"Maine","union_hh_no",0.503316197315678,0.403481964861405,0.0932018378229169,2012
"Maine","union_hh_yes",0.54752544812707,0.389384430612558,0.0630901212603722,2012
"Maryland","union_hh_no",0.612355086182003,0.342769048693228,0.044875865124769,2012
"Maryland","union_hh_yes",0.655498694106163,0.321309614493001,0.0231916914008358,2012
"Massachusetts","union_hh_no",0.599973445276314,0.373169256909893,0.0268572978137932,2012
"Massachusetts","union_hh_yes",0.569521269220018,0.394900009669651,0.0355787211103317,2012
"Michigan","union_hh_no",0.525565512618817,0.446127756677114,0.0283067307040694,2012
"Michigan","union_hh_yes",0.572919527431334,0.404232672258522,0.0228478003101432,2012
"Minnesota","union_hh_no",0.508817778477712,0.447325939143199,0.0438562823790883,2012
"Minnesota","union_hh_yes",0.53782014909308,0.432076323236481,0.0301035276704396,2012
"Mississippi","union_hh_no",0.451329715852315,0.50996127226119,0.0387090118864949,2012
"Mississippi","union_hh_yes",0.507539202898588,0.476978134849481,0.0154826622519307,2012
"Missouri","union_hh_no",0.445052022270316,0.510698560182648,0.0442494175470355,2012
"Missouri","union_hh_yes",0.465731558868294,0.490224450149587,0.0440439909821188,2012
"Montana","union_hh_no",0.407560657527399,0.541679149423599,0.0507601930490029,2012
"Montana","union_hh_yes",0.431435829067433,0.501707307516487,0.0668568634160803,2012
"Nebraska","union_hh_no",0.390162046519567,0.582674139322506,0.027163814157927,2012
"Nebraska","union_hh_yes",0.516547644002818,0.469823716571848,0.0136286394253337,2012
"Nevada","union_hh_no",0.527172498008239,0.438730634299802,0.0340968676919591,2012
"Nevada","union_hh_yes",0.495058709674169,0.458128482379206,0.046812807946625,2012
"New Hampshire","union_hh_no",0.483528550887323,0.466085396458929,0.0503860526537479,2012
"New Hampshire","union_hh_yes",0.51283126144763,0.42960632219873,0.0575624163536405,2012
"New Jersey","union_hh_no",0.548787532089959,0.425334142569931,0.0258783253401105,2012
"New Jersey","union_hh_yes",0.592099381090169,0.3769780022913,0.0309226166185314,2012
"New Mexico","union_hh_no",0.46958657324297,0.477039514534518,0.0533739122225115,2012
"New Mexico","union_hh_yes",0.492266658855133,0.432505396473806,0.0752279446710616,2012
"New York","union_hh_no",0.654141802797449,0.326848182581543,0.019010014621008,2012
"New York","union_hh_yes",0.61808828756607,0.349619903136269,0.0322918092976619,2012
"North Carolina","union_hh_no",0.509785550140017,0.460732376855607,0.0294820730043757,2012
"North Carolina","union_hh_yes",0.505770004036643,0.475322633243128,0.0189073627202287,2012
"North Dakota","union_hh_no",0.321796992034187,0.634929096851321,0.043273911114492,2012
"North Dakota","union_hh_yes",0.361476652028594,0.584248561454725,0.0542747865166807,2012
"Ohio","union_hh_no",0.505461599446764,0.46554132675655,0.0289970737966854,2012
"Ohio","union_hh_yes",0.536718841640513,0.436377804638356,0.0269033537211314,2012
"Oklahoma","union_hh_no",0.336939825246775,0.641062437310042,0.0219977374431831,2012
"Oklahoma","union_hh_yes",0.348167668808208,0.650799302162618,0.0010330290291743,2012
"Oregon","union_hh_no",0.559262166396481,0.369143335239396,0.0715944983641227,2012
"Oregon","union_hh_yes",0.505036781077207,0.445926888723035,0.0490363301997575,2012
"Pennsylvania","union_hh_no",0.520040682194007,0.452209243266275,0.0277500745397172,2012
"Pennsylvania","union_hh_yes",0.513878019661379,0.452020158076019,0.0341018222626018,2012
"Rhode Island","union_hh_no",0.642226100445443,0.308606189595722,0.049167709958835,2012
"Rhode Island","union_hh_yes",0.699547140415724,0.281046798097349,0.0194060614869277,2012
"South Carolina","union_hh_no",0.491601258320993,0.47102507110651,0.0373736705724974,2012
"South Carolina","union_hh_yes",0.464474714078271,0.507093932285481,0.0284313536362481,2012
"South Dakota","union_hh_no",0.3907705462241,0.532387872973994,0.076841580801906,2012
"South Dakota","union_hh_yes",0.40624686112473,0.483718845458141,0.110034293417129,2012
"Tennessee","union_hh_no",0.428388997935796,0.53237661145521,0.0392343906089946,2012
"Tennessee","union_hh_yes",0.483128172806871,0.47671328236914,0.0401585448239882,2012
"Texas","union_hh_no",0.44240920214757,0.522830750750347,0.0347600471020832,2012
"Texas","union_hh_yes",0.501449513345054,0.46961375951329,0.0289367271416563,2012
"Utah","union_hh_no",0.292118532144217,0.655167523858601,0.0527139439971813,2012
"Utah","union_hh_yes",0.31381671410412,0.602407817052742,0.0837754688431375,2012
"Vermont","union_hh_no",0.611082740357436,0.356799614300869,0.0321176453416947,2012
"Vermont","union_hh_yes",0.668620231114532,0.303715065132286,0.0276647037531814,2012
"Virginia","union_hh_no",0.495515320691481,0.477534797297667,0.0269498820108522,2012
"Virginia","union_hh_yes",0.538284097110962,0.428412657297755,0.0333032455912824,2012
"Washington","union_hh_no",0.551613009234097,0.40645541767335,0.0419315730925526,2012
"Washington","union_hh_yes",0.557870279246677,0.415271255493046,0.0268584652602766,2012
"West Virginia","union_hh_no",0.306383710932471,0.610459793293582,0.0831564957739466,2012
"West Virginia","union_hh_yes",0.430311150193103,0.527148089832993,0.0425407599739044,2012
"Wisconsin","union_hh_no",0.485041238681886,0.48860569087127,0.0263530704468441,2012
"Wisconsin","union_hh_yes",0.567639045946322,0.40981227923931,0.0225486748143674,2012
"Wyoming","union_hh_no",0.245047028354908,0.722325316710561,0.0326276549345317,2012
"Wyoming","union_hh_yes",0.336857594504627,0.513719961364466,0.149422444130907,2012
"Alabama","union_hh_no",0.357375675261289,0.603176004093736,0.0394483206449755,2016
