st,voted_pres_20,union_hh_current,union_hh_former,union_hh_none
AK,Joe Biden,0.631578947,0.258064516,0.470588235
AL,Joe Biden,0.375,0.513043478,0.452764977
AR,Joe Biden,0.791666667,0.484375,0.459161148
AZ,Joe Biden,0.543478261,0.503649635,0.48328877
CA,Joe Biden,0.646401985,0.61679225,0.606387868
CO,Joe Biden,0.656716418,0.642857143,0.574929312
CT,Joe Biden,0.627906977,0.582608696,0.605882353
DC,Joe Biden,0.739130435,0.96,0.872928177
DE,Joe Biden,0.625,0.65,0.558823529
FL,Joe Biden,0.577777778,0.525037936,0.508665316
GA,Joe Biden,0.733333333,0.524861878,0.523068948
HI,Joe Biden,0.714285714,0.641509434,0.616352201
IA,Joe Biden,0.674418605,0.663265306,0.56
ID,Joe Biden,0.28,0.42,0.408360129
IL,Joe Biden,0.681948424,0.592760181,0.598846356
IN,Joe Biden,0.526315789,0.568181818,0.48
KS,Joe Biden,0.476190476,0.520547945,0.504132231
KY,Joe Biden,0.543209877,0.467625899,0.454251884
LA,Joe Biden,0.694444444,0.409836066,0.473354232
MA,Joe Biden,0.712230216,0.679069767,0.637159533
MD,Joe Biden,0.666666667,0.642384106,0.619922631
ME,Joe Biden,0.571428571,0.568627451,0.524637681
MI,Joe Biden,0.616197183,0.576595745,0.544929397
MN,Joe Biden,0.653846154,0.624454148,0.578285714
MO,Joe Biden,0.637037037,0.518987342,0.466611018
MS,Joe Biden,0.428571429,0.525,0.43236715
MT,Joe Biden,0.583333333,0.623188406,0.485294118
NC,Joe Biden,0.644067797,0.494845361,0.540431944
ND,Joe Biden,0.25,0.619047619,0.430656934
NE,Joe Biden,0.5625,0.62,0.5
NH,Joe Biden,0.774193548,0.607843137,0.547550432
NJ,Joe Biden,0.642599278,0.594501718,0.572132301
NM,Joe Biden,0.464285714,0.626506024,0.50255102
NV,Joe Biden,0.616666667,0.492424242,0.508823529
NY,Joe Biden,0.609970674,0.621138211,0.623934538
OH,Joe Biden,0.57312253,0.576271186,0.539899681
OK,Joe Biden,0.548387097,0.43902439,0.37944664
OR,Joe Biden,0.596899225,0.6375,0.614321608
PA,Joe Biden,0.584615385,0.510309278,0.505158307
RI,Joe Biden,0.566666667,0.769230769,0.628571429
SC,Joe Biden,0.578947368,0.509803922,0.481012658
SD,Joe Biden,0.5,0.181818182,0.331360947
TN,Joe Biden,0.573170732,0.488235294,0.414187643
TX,Joe Biden,0.658163265,0.503773585,0.512874532
UT,Joe Biden,0.594594595,0.492063492,0.473684211
VA,Joe Biden,0.622222222,0.613733906,0.556856187
VT,Joe Biden,0.846153846,0.777777778,0.625954198
WA,Joe Biden,0.670050761,0.637982196,0.596491228
WI,Joe Biden,0.637096774,0.542253521,0.548944338
WV,Joe Biden,0.512195122,0.430232558,0.380829016
WY,Joe Biden,0.166666667,0.333333333,0.397727273