"year","case_id","st","union_hh","voted_pres_20"
2020,1232510357,"VT",1,"Joe Biden"
2020,1232628429,"VT",3,"Joe Biden"
2020,1232807121,"VT",3,"Joe Biden"
2020,1232771717,"VT",3,"Joe Biden"
2020,1232877249,"VT",3,"Joe Biden"
2020,1232891435,"VT",3,"Joe Biden"
2020,1234831413,"VT",2,"Joe Biden"
2020,1234831309,"VT",3,"Donald Trump"
2020,1234894957,"VT",3,"Joe Biden"
2020,1234892679,"VT",3,"Joe Biden"
2020,1234832449,"VT",3,"Joe Biden"
2020,1235654595,"VT",2,"Joe Biden"
2020,1235486723,"VT",2,"Joe Biden"
2020,1232714155,"VT",2,"Joe Biden"
2020,1236090725,"VT",3,"Donald Trump"
2020,1235566815,"VT",3,"Joe Biden"
2020,1236784047,"VT",3,"Joe Biden"
2020,1236891135,"VT",3,"Donald Trump"
2020,1236920749,"VT",1,"Joe Biden"
2020,1236513135,"VT",3,NA
2020,1236366659,"VT",3,"Donald Trump"
2020,1236204031,"VT",3,NA
2020,1236952555,"VT",3,"Joe Biden"
2020,1236453233,"VT",3,"Donald Trump"
2020,1236842001,"VT",3,"Donald Trump"
2020,1237400399,"VT",3,"Joe Biden"
2020,1237338831,"VT",3,"Joe Biden"
2020,1237336983,"VT",3,"Joe Biden"
2020,1237161799,"VT",3,"Donald Trump"
2020,1237489889,"VT",3,"Joe Biden"
2020,1237207539,"VT",2,"Joe Biden"
2020,1237560381,"VT",1,"Joe Biden"
2020,1237467557,"VT",3,"Joe Biden"
2020,1237600711,"VT",2,"Other / Someone Else"
2020,1237245513,"VT",1,NA
2020,1237599197,"VT",3,"Joe Biden"
2020,1237207255,"VT",3,"Joe Biden"
2020,1237243107,"VT",3,"Donald Trump"
2020,1237430669,"VT",3,"Donald Trump"
2020,1237242573,"VT",3,NA
2020,1237029205,"VT",1,"Joe Biden"
2020,1237078443,"VT",3,NA
2020,1236450117,"VT",3,"Joe Biden"
2020,1237757177,"VT",2,"Joe Biden"
2020,1238245249,"VT",3,"Joe Biden"
2020,1238178037,"VT",1,"Joe Biden"
2020,1238117749,"VT",2,"Other / Someone Else"
2020,1237247085,"VT",1,"Donald Trump"
2020,1238287921,"VT",3,"Joe Biden"
2020,1237530923,"VT",3,"Joe Biden"
2020,1238156515,"VT",3,"Joe Biden"
2020,1238178135,"VT",1,"Donald Trump"
2020,1238124423,"VT",3,"Joe Biden"
2020,1238621879,"VT",3,"Donald Trump"
2020,1238611271,"VT",3,NA
2020,1238678453,"VT",1,"Joe Biden"
2020,1238130581,"VT",3,"Donald Trump"
2020,1238877563,"VT",3,"Donald Trump"
2020,1239075511,"VT",3,"Joe Biden"
2020,1238927011,"VT",3,"Joe Biden"
2020,1239072387,"VT",3,"Joe Biden"
2020,1238397085,"VT",2,NA
2020,1239064935,"VT",2,"Joe Biden"
2020,1239722369,"VT",3,"Joe Biden"
2020,1239746089,"VT",3,"Donald Trump"
2020,1236586205,"VT",3,"Joe Biden"
2020,1239831783,"VT",3,"Joe Biden"
2020,1239911789,"VT",3,"Joe Biden"
2020,1238626969,"VT",3,"Other / Someone Else"
2020,1240154807,"VT",3,NA
2020,1240350753,"VT",3,"Joe Biden"
2020,1240060025,"VT",1,"Donald Trump"
2020,1240349673,"VT",3,"Joe Biden"
2020,1240404221,"VT",3,"Joe Biden"
2020,1240350021,"VT",3,"Joe Biden"
2020,1239394215,"VT",3,"Donald Trump"
2020,1240565721,"VT",3,NA
2020,1241045067,"VT",3,"Joe Biden"
2020,1240642813,"VT",3,"Joe Biden"
2020,1241045717,"VT",3,"Joe Biden"
2020,1241267263,"VT",3,"Joe Biden"
2020,1238848669,"VT",3,"Joe Biden"
2020,1241417833,"VT",3,NA
2020,1241517955,"VT",2,"Joe Biden"
2020,1242478257,"VT",1,"Donald Trump"
2020,1242498201,"VT",2,"Other / Someone Else"
2020,1242261657,"VT",2,"Other / Someone Else"
2020,1242859963,"VT",3,"Other / Someone Else"
2020,1242594809,"VT",3,"Joe Biden"
2020,1242820221,"VT",3,"Joe Biden"
2020,1242948315,"VT",3,"Donald Trump"
2020,1242478373,"VT",3,"Donald Trump"
2020,1243041047,"VT",3,"Joe Biden"
2020,1242484447,"VT",3,NA
2020,1242769653,"VT",3,"Joe Biden"
2020,1243409793,"VT",3,"Joe Biden"
2020,1243801821,"VT",3,"Joe Biden"
2020,1243531269,"VT",3,"Joe Biden"
2020,1243819375,"VT",1,"Joe Biden"
2020,1243764343,"VT",3,"Joe Biden"
2020,1243819669,"VT",3,"Donald Trump"
2020,1239766109,"VT",1,"Joe Biden"
2020,1243563901,"VT",3,"Other / Someone Else"
2020,1243513405,"VT",3,"Donald Trump"
2020,1241392463,"VT",3,"Joe Biden"
2020,1243476349,"VT",3,"Joe Biden"
2020,1243821207,"VT",3,"Joe Biden"
2020,1244033875,"VT",3,"Donald Trump"
2020,1244286453,"VT",1,"Joe Biden"
2020,1243370107,"VT",3,"Joe Biden"
2020,1244756531,"VT",3,NA
2020,1244728303,"VT",2,"Joe Biden"
2020,1245112857,"VT",3,"Donald Trump"
2020,1245323175,"VT",3,"Joe Biden"
2020,1244797095,"VT",1,"Joe Biden"
2020,1245200573,"VT",3,NA
2020,1246594663,"VT",1,"Joe Biden"
2020,1246825595,"VT",3,"Joe Biden"
2020,1247293923,"VT",3,"Joe Biden"
2020,1247683987,"VT",3,NA
2020,1247843605,"VT",3,NA
2020,1248064147,"VT",3,"Joe Biden"
2020,238359477,"VT",3,NA
2020,1247687949,"VT",3,NA
2020,1248804047,"VT",3,NA
2020,1248843537,"VT",3,NA
2020,1249717269,"VT",2,"Joe Biden"
2020,1249718101,"VT",3,NA
2020,1249895189,"VT",3,"Other / Someone Else"
2020,1248626313,"VT",3,"Joe Biden"
2020,1250053933,"VT",3,"Joe Biden"
2020,1249520467,"VT",3,"Joe Biden"
2020,1247685689,"VT",3,"Joe Biden"
2020,1250598463,"VT",NA,NA
2020,1249717449,"VT",3,"Joe Biden"
2020,1251653551,"VT",3,"Other / Someone Else"
2020,1250522173,"VT",3,"Donald Trump"
2020,1251661953,"VT",1,"Joe Biden"
2020,1253178309,"VT",1,NA
2020,1255241645,"VT",3,NA
2020,1255825425,"VT",3,"Donald Trump"
2020,1255869229,"VT",2,"Joe Biden"
2020,1255963569,"VT",1,"Joe Biden"
2020,1255915171,"VT",3,"Joe Biden"
2020,1256265655,"VT",3,"Joe Biden"
2020,1257189759,"VT",3,NA
2020,1257193775,"VT",3,NA
2020,1259767839,"VT",3,NA
2020,1259841919,"VT",3,NA
2020,1259993449,"VT",3,"Joe Biden"
